10.0.2.15;216.58.201.74;46157;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;0,23,65281,10,11,5,13,30032;android.googleapis.com;0x0000001d,0x00000017,0x00000018;0;Oct 20, 2019 16:08:47.439594000 CEST
216.58.201.74;10.0.2.15;443;46157;2;0x00000303;49195;23,65281,11,30032;;;0;Oct 20, 2019 16:08:47.459773000 CEST
10.0.2.15;13.32.99.117;39868;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49171,49172,156,157,47,53;65281,0,23,35,13,16,11,10,21;content.cdn.viber.com;0x00000017;0;Oct 20, 2019 16:08:52.495198000 CEST
13.32.99.117;10.0.2.15;443;39868;2;0x00000303;49199;65281,16;;;;Oct 20, 2019 16:08:52.500750000 CEST
10.0.2.15;185.151.204.8;58799;443;1;0x00000303;49195,49196,52393,49199,49200,52392,158,159,49161,49162,49171,49172,51,57,156,157,47,53;65281,0,23,35,13,16,11,10,21;app.adjust.com;0x00000017;0;Oct 20, 2019 16:09:11.821238000 CEST
185.151.204.8;10.0.2.15;443;58799;2;0x00000303;49200;0,65281,11,35;;;0,1,2;Oct 20, 2019 16:09:11.844568000 CEST
10.0.2.15;185.151.204.8;58800;443;1;0x00000303;49195,49196,52393,49199,49200,52392,158,159,49161,49162,49171,49172,51,57,156,157,47,53;65281,0,23,35,13,16,11,10,21;app.adjust.com;0x00000017;0;Oct 20, 2019 16:09:11.997315000 CEST
185.151.204.8;10.0.2.15;443;58800;2;0x00000303;49200;0,65281,11,35;;;0,1,2;Oct 20, 2019 16:09:12.017094000 CEST
10.0.2.15;151.101.112.233;37188;443;1;0x00000303;49195,49196,52393,49199,49200,52392,158,159,49161,49162,49171,49172,51,57,156,157,47,53;65281,0,23,35,13,16,11,10,21;venetia.iad.appboy.com;0x00000017;0;Oct 20, 2019 16:09:52.393204000 CEST
151.101.112.233;10.0.2.15;443;37188;2;0x00000303;49199;65281,23,16;;;;Oct 20, 2019 16:09:52.405333000 CEST
